 	probeId	ensemblId	geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
1	1552626_a_at	ENSG00000152128	TMEM163	4.231665	4.931794	17.516991	5.920033e-09	3.050046e-06	11.20598051
2	1552767_a_at	ENSG00000171004	HS6ST2	4.186743	4.610220	11.097171	5.033815e-07	9.582559e-05	6.85280136
3	1555724_s_at	ENSG00000149591	TAGLN	-4.487301	6.083026	-5.012915	4.940431e-04	9.096657e-03	-0.30570325
4	1555725_a_at	ENSG00000143248	RGS5	5.665430	4.908580	15.072254	2.608112e-08	9.891263e-06	9.79587452
5	1555725_a_at	ENSG00000232995	RGS5	5.665430	4.908580	15.072254	2.608112e-08	9.891263e-06	9.79587452
6	1555778_a_at	ENSG00000133110	POSTN	-5.930703	6.194704	-4.512267	1.063043e-03	1.461604e-02	-1.10406322
7	1556037_s_at	ENSG00000164161	HHIP	4.179900	9.562941	10.632815	7.544876e-07	1.287627e-04	6.44059290
8	1556128_a_at	ENSG00000113319	RASGRF2	-4.283183	6.386849	-19.738311	1.805610e-09	1.450117e-06	12.29372747
9	1556314_a_at	NA	NA	-6.200352	7.680901	-18.811142	2.916279e-09	2.041844e-06	11.85948309
10	1556499_s_at	ENSG00000108821	COL1A1	-9.191107	9.146711	-8.585156	5.475260e-06	5.120118e-04	4.39878141
11	1557051_s_at	ENSG00000233429	HOTAIRM1	4.217138	3.344476	15.854604	1.585881e-08	6.561222e-06	10.27468480
12	1570515_a_at	ENSG00000118407	FILIP1	-4.925628	7.335767	-10.383081	9.438231e-07	1.507136e-04	6.21174752
13	200606_at	ENSG00000096696	DSP	-5.739405	6.793011	-10.521873	8.329300e-07	1.370120e-04	6.33956388
14	200795_at	ENSG00000152583	SPARCL1	-4.368220	6.063106	-2.181280	5.357426e-02	1.748415e-01	-5.06027240
15	200974_at	ENSG00000107796	ACTA2	-4.004298	11.029835	-5.564923	2.212378e-04	5.462133e-03	0.53411144
