"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000009771",128.016625190672,0.125279569632654,0.327126536786592,0.382969754955656,0.701742189657439,0.944018275267834
"ENSGALG00000027884",0.545606348199514,0.148116742556961,0.247503483356344,0.598443062491002,0.549544339650663,0.944018275267834
"ENSGALG00000009783",1215.54650871997,-0.00227119148858211,0.393330209078517,-0.00577426151401642,0.995392831490052,0.99894253724237
"ENSGALG00000009778",0.146166165480487,0.0601261270849065,0.120900582907097,0.497318752640828,0.6189642897228,0.944018275267834
"ENSGALG00000009772",34.1044837920402,0.387113812816143,0.391650237255849,0.988417153857762,0.322948389836335,0.944018275267834
"ENSGALG00000009770",65.1952016459384,-0.63655288033264,0.386435915794596,-1.64724047200362,0.0995086280780294,0.91490018130167
"ENSGALG00000023986",0.277555270035008,-0.0793411698054804,0.154057205136435,-0.515011094321844,0.606545267416285,0.944018275267834
"ENSGALG00000009746",37.0088950145779,0.230933589430949,0.366294754579107,0.630458357767925,0.528394739653987,0.944018275267834
"ENSGALG00000026110",4.52512724176608,0.101338744512415,0.419972934640221,0.24129827461198,0.809323948049848,0.963354326228176
"ENSGALG00000027205",0.13272269913497,0.0553740556471419,0.116163083222184,0.476692371716997,0.633581195662417,0.944018275267834
"ENSGALG00000013502",94.3803825061659,-0.64206526193891,0.366764042962655,-1.75062216228292,0.0800110151703429,0.91490018130167
"ENSGALG00000013772",55.9668396835919,0.0621505328285448,0.376375770657572,0.165128942067553,0.868842493228314,0.976303864306761
"ENSGALG00000013499",351.944589964782,0.56013708866025,0.260016027184698,2.15424062403033,0.0312213065623983,0.91490018130167
"ENSGALG00000028531",2.27747142986264,-0.336214802574872,0.413482752428392,-0.81312896511469,0.416144121145512,0.944018275267834
"ENSGALG00000012438",57.8098787002056,-0.218748324253489,0.360919581562411,-0.606086051930275,0.544457612578832,0.944018275267834
"ENSGALG00000023981",22.4283022014384,-0.370653451707684,0.438830883987149,-0.844638482004695,0.398312716465141,0.944018275267834
"ENSGALG00000013811",414.103760131141,-0.999973725608011,0.386052437348672,-2.59025362584322,0.00959052439709595,0.765145595582384
"ENSGALG00000028368",0.395127610820239,-0.224085610704873,0.245712698698756,-0.911982212932355,0.361778081034159,0.944018275267834
"ENSGALG00000013823",58.31388712444,-0.161866742818974,0.398328477152635,-0.406364977909798,0.684474448579069,0.944018275267834
"ENSGALG00000007910",76.7530792861408,-0.496985769101886,0.380881534877949,-1.30483030441773,0.191950637629628,0.915353872271584
"ENSGALG00000007960",88.0639917889314,-0.249413750445379,0.374878228112143,-0.665319380379615,0.505846237354049,0.944018275267834
"ENSGALG00000026181",86.118538024573,-0.166571588110917,0.326165367965931,-0.510696733836915,0.609563428137981,0.944018275267834
"ENSGALG00000007973",279.579018610173,0.162556722710366,0.289671655184866,0.561175799567352,0.574677698881911,0.944018275267834
"ENSGALG00000007978",671.897797811285,-0.0250703127378589,0.306603364655525,-0.0817678982943512,0.934831284014813,0.989465989090105
"ENSGALG00000008003",141.38672815549,-0.233629101589966,0.41487553547957,-0.563130581609026,0.573345968503261,0.944018275267834
"ENSGALG00000008013",38.8807251833524,-0.838072640608592,0.416346130443522,-2.01292285271348,0.0441227460098513,0.91490018130167
"ENSGALG00000020819",2.45644190651073,-0.0432179383558109,0.308559469758705,-0.140063561781486,0.888609770226814,0.980575063738559
"ENSGALG00000027499",0.352734418371546,0.130248995496739,0.174217995588167,0.747620790016629,0.454688921003691,0.944018275267834
"ENSGALG00000008036",3714.94817195901,-0.429113148812834,0.301139928720312,-1.4249626432348,0.154167999923281,0.91490018130167
"ENSGALG00000008048",0.267989568898173,-0.0799248045538234,0.154761874151466,-0.516437300801879,0.605549019390636,0.944018275267834
"ENSGALG00000008087",3.25002811946641,-0.535382268620236,0.412512535380567,-1.2978569684587,0.194336489286613,0.915353872271584
"ENSGALG00000008103",731.783143679479,-0.621796328914173,0.265642996918444,-2.34072170592576,0.0192465073907691,0.867054126668155
"ENSGALG00000008111",214.232245254424,-0.46883782044475,0.372825199404236,-1.25752717679475,0.208562804480506,0.915353872271584
"ENSGALG00000008144",4305.72371270207,-0.570403427748824,0.29112550659111,-1.95930419985482,0.0500771722053994,0.91490018130167
"ENSGALG00000008153",11.4259811297,-0.0540219280552112,0.45176262767689,-0.119580338756682,0.904815595348191,0.983199651062961
"ENSGALG00000008162",227.325807387582,-0.0397934093612934,0.405906266387706,-0.0980359572061505,0.921903741157118,0.986640261791074
"ENSGALG00000008168",67.0528687102038,-0.280635124686869,0.3573306842032,-0.78536531312067,0.432239411980007,0.944018275267834
"ENSGALG00000008169",14581.832488028,-0.547489233024852,0.262601681739616,-2.08486567716545,0.0370814950000248,0.91490018130167
"ENSGALG00000008171",60.2328759785347,-0.137264886265376,0.419136957029525,-0.327494113709726,0.743294194310775,0.94879790257213
"ENSGALG00000008401",42.1089034333537,0.280645477990198,0.376146117225332,0.746107603237803,0.455602416729197,0.944018275267834
"ENSGALG00000008424",0.261132826371152,-0.118610436527347,0.185371705258754,-0.639851893047986,0.522268891911305,0.944018275267834
"ENSGALG00000008437",1120.8058781506,0.488774111231158,0.288037338574504,1.69691232966566,0.0897132366354591,0.91490018130167
"ENSGALG00000008444",123.407915033093,0.0151477910489462,0.291362084737996,0.0519895753168009,0.958536999873543,0.99317095309085
"ENSGALG00000008449",4.79363319998139,-0.231171730482718,0.326800273763593,-0.707379243659837,NA,NA
"ENSGALG00000008463",152.882412590432,0.0734290687379743,0.314082816989932,0.233788875945825,0.815148885998012,0.965885329387713
"ENSGALG00000008477",1453.76571916548,-0.435547306829836,0.362455000991325,-1.20165898011781,0.229495680034537,0.917125662720927
"ENSGALG00000028216",0.786665934002576,0.144572247295916,0.3011812410637,0.480017436628261,0.631214994507262,0.944018275267834
"ENSGALG00000027367",0.277555270035008,-0.0793411698054804,0.154057205136435,-0.515011094321844,0.606545267416285,0.944018275267834
"ENSGALG00000026341",0.205881048134408,-0.000663511721244132,0.152348078381695,-0.00435523525004208,0.996525036020893,0.99894253724237
"ENSGALG00000006489",6628.55094375056,-0.58468574060583,0.353045848568532,-1.65611844177325,0.097697835370154,0.91490018130167
"ENSGALG00000006473",91.1271623161574,-0.239450666344337,0.419344362421264,-0.571012007796567,0.567991503244728,0.944018275267834
"ENSGALG00000019410",0.40198435334726,-0.109793808262176,0.179586774805331,-0.611369118807275,0.54095524197098,0.944018275267834
"ENSGALG00000006409",1367.40632522198,-0.104324181120025,0.32911754136241,-0.316981527900841,0.751257618660067,0.950019144456863
"ENSGALG00000006356",1050.83947897253,-0.472832832358275,0.293604317992263,-1.61044236539714,0.107301318098389,0.91490018130167
"ENSGALG00000019412",1.779939420849,-0.394744665436457,0.361157111341631,-1.09299984145419,0.274393869359559,0.925841351903521
"ENSGALG00000006332",4043.34270025369,-0.0626273049833708,0.316615825799724,-0.197802193952825,NA,NA
"ENSGALG00000006324",1750.68857262044,0.352699188687312,0.419247909802092,0.841266421229876,0.400198697551531,0.944018275267834
"ENSGALG00000023876",49.5535830679989,0.0278653679467169,0.450111924206097,0.0619076421844756,0.950636381590689,0.991219262933881
"ENSGALG00000009279",28.2017857673477,0.504315676257876,0.426105687695329,1.18354598593969,0.236592832694685,0.917125662720927
"ENSGALG00000026622",14.7962491987801,0.222171187796009,0.436987068605757,0.508415932088938,0.611161681978564,0.944018275267834
"ENSGALG00000006891",3.30637281443484,0.745915357378713,0.406276297151239,1.83598049556172,0.0663605413516246,0.91490018130167
"ENSGALG00000006833",19.1031233352721,-0.195916396179378,0.452500243992811,-0.432964177987252,0.665040794223646,0.944018275267834
"ENSGALG00000006769",531.374307426539,0.258512566956594,0.383278008201817,0.674477954447293,0.500007496855067,0.944018275267834
"ENSGALG00000006753",17916.0589637888,-0.594674298275043,0.371363886527696,-1.60132506107508,0.109304941109355,0.91490018130167
"ENSGALG00000006731",2025.63530224272,0.231678418534273,0.286274336644358,0.809288115902927,0.418349440389169,0.944018275267834
"ENSGALG00000006726",96.3280034480606,0.737791219874799,0.291300648990801,2.53274828748527,0.0113172188647794,0.780062259322958
"ENSGALG00000006713",46.4482126762161,0.140812224587472,0.415407203015846,0.338973959924572,0.734629347020749,0.946843936199818
"ENSGALG00000023852",11.4382497853458,0.390674726676638,0.450216001419619,0.867749536766274,0.385531461011419,0.944018275267834
"ENSGALG00000006706",497.711370137082,0.464043768191975,0.375554814084692,1.23562194062923,0.216599125223546,0.915887388881375
"ENSGALG00000006690",104.313326171751,-0.522085743815738,0.401818460680062,-1.2993075104915,0.193838417920368,0.915353872271584
"ENSGALG00000006700",60.4584475971294,0.317061716984317,0.448541557006717,0.706872556246933,NA,NA
"ENSGALG00000006694",1798.700269091,-0.369865824558014,0.332468823555834,-1.11248273026689,0.265930651391412,0.92423636290178
"ENSGALG00000003674",341.290274331482,-0.424432487058143,0.294004337069039,-1.44362661887697,0.148844033058366,0.91490018130167
"ENSGALG00000014036",839.993890523482,0.197187626657673,0.300182928487789,0.656891541604419,0.511250657326262,0.944018275267834
"ENSGALG00000013967",36.2092918297644,-0.521260945922142,0.383082188726998,-1.36070264100328,0.173607679665851,0.91490018130167
"ENSGALG00000014038",1475.78536208408,-0.173812786077008,0.347649260225209,-0.499965931077809,0.617099066628737,0.944018275267834
"ENSGALG00000009866",13.4642412985728,-0.673379576678789,0.420596806189956,-1.60100972420287,0.109374765378666,0.91490018130167
"ENSGALG00000027168",58.727275578048,0.167960537189214,0.338236319001972,0.496577474840113,0.619487040785405,0.944018275267834
"ENSGALG00000013738",284.748327767405,0.16899642813489,0.361980165980591,0.466866541367218,0.64059536476201,0.944018275267834
"ENSGALG00000005870",1372.22632296665,0.323551553504446,0.373898810724995,0.865345233051357,0.386849330947243,0.944018275267834
"ENSGALG00000014565",54.810816999332,0.585871773673016,0.41784640346741,1.40212233206098,0.160878719390696,0.91490018130167
"ENSGALG00000014575",2225.4827742503,-0.149539877661147,0.29593476851291,-0.505313648722634,0.613338557935278,0.944018275267834
"ENSGALG00000006682",100.9259041943,-0.013933680643836,0.326922368861394,-0.0426207625142455,0.966003844434364,0.993399039589682
"ENSGALG00000006671",1611.76880783477,-0.266699933161233,0.335754886743255,-0.794329267246596,0.427003770071374,0.944018275267834
"ENSGALG00000006656",50.9956975366052,-0.00709672901004537,0.420293020008755,-0.016885193596357,0.986528204883059,0.998586954619249
"ENSGALG00000025161",0.352734418371546,0.130248995496739,0.174217995588167,0.747620790016629,0.454688921003691,0.944018275267834
"ENSGALG00000028708",258.547126575546,0.140787620717458,0.405313725993064,0.347354682776935,0.728324874157658,0.946134796655728
